%time,field.x,field.y,field.z
150200000000,-3.08603738964,-3.21568716281,0.0
150300000000,-3.08858526527,-3.15774315251,0.0
150400000000,-3.09377529254,-3.10198417461,0.0
150500000000,-3.10111810513,-3.05050521674,0.0
150600000000,-3.11096688665,-2.99944641238,0.0
150700000000,-3.12282384267,-2.95087262733,0.0
150700000000,-3.13647083659,-2.90485350569,0.0
150900000000,-3.15168794784,-2.86144337409,0.0
151000000000,-3.16599537662,-2.82623971687,0.0
151100000000,-3.17947751406,-2.79721848378,0.0
151200000000,-3.19157053834,-2.77420199483,0.0
151300000000,-3.20071103322,-2.75869550092,0.0
151400000000,-3.20730241392,-2.74866785411,0.0
151500000000,-3.21083909378,-2.74382101024,0.0
151600000000,-3.21083909378,-2.74382101024,0.0
151700000000,-3.21083909378,-2.74382101024,0.0
151800000000,-3.21083909378,-2.74382101024,0.0
151900000000,-3.21083909378,-2.74382101024,0.0
152000000000,-3.21083909378,-2.74382101024,0.0
152100000000,-3.21083909378,-2.74382101024,0.0
152200000000,-3.21083909378,-2.74382101024,0.0
152300000000,-3.21083909378,-2.74382101024,0.0
152400000000,-3.21083909378,-2.74382101024,0.0
152500000000,-3.21083909378,-2.74382101024,0.0
152600000000,-3.21083909378,-2.74382101024,0.0
